,Unnamed: 0,Entry ID,Jurisdiction,health_region,Date announced,Date implemented,Intervention category,Intervention type,Intervention summary,"Primary source
(news release or specific resource)",Secondary source,Level,"Indigenous 
population group",Industry,suggested_industry,suggested_hr
77,77,MB180,Man.,Winnipeg,2020-08-24 00:00:00,2020-08-24 00:00:00,Policy,Openings - education,"Who: Manitoba Education
What: Released Restoring Safe Schools: August 24 - School Settings Practice Guidance and Protocols with updated guidance from August 13 report
Effective until:",https://www.gov.mb.ca/covid19/restoring/rss-practice-guidance.html,https://www.gov.mb.ca/asset_library/en/covid/k-12-reopeningplan-guidance.pdf,Provincial/territorial,No,,None,None
78,78,NB153,N.B.,Zone 2 (Saint John area),2020-08-13 00:00:00,2020-08-13 00:00:00,Policy,Openings - education,"Who: Department of Health, Department of Education and Early Childhood Development
What: Released Return to School: Guide for Parents and the Public, a general guidance document outlining what students and parents need to know before returning to school: all students are to bring a mask but are not required to wear them inside classrooms; masks required for grades 6 to 12 on school buses and in common areas; for teachers, masks are optional in K-8 and required for grades 9 to 12; K-5 will be taught in cohorts (reduced sizes for K-5) with no distancing required; grades 9 to 12 will be required to follow distancing of 1 metre in the classroom and 2 metres in common areas
Effective until:",https://www2.gnb.ca/content/gnb/en/news/news_release.2020.08.0443.html,https://www2.gnb.ca/content/dam/gnb/Departments/ed/pdf/return-to-school-guide.pdf,Provincial/territorial,No,,None,None
79,79,NB153,N.B.,Zone 1 (Moncton area),2020-08-13 00:00:00,2020-08-13 00:00:00,Policy,Openings - education,"Who: Department of Health, Department of Education and Early Childhood Development
What: Released Return to School: Guide for Parents and the Public, a general guidance document outlining what students and parents need to know before returning to school: all students are to bring a mask but are not required to wear them inside classrooms; masks required for grades 6 to 12 on school buses and in common areas; for teachers, masks are optional in K-8 and required for grades 9 to 12; K-5 will be taught in cohorts (reduced sizes for K-5) with no distancing required; grades 9 to 12 will be required to follow distancing of 1 metre in the classroom and 2 metres in common areas
Effective until:",https://www2.gnb.ca/content/gnb/en/news/news_release.2020.08.0443.html,https://www2.gnb.ca/content/dam/gnb/Departments/ed/pdf/return-to-school-guide.pdf,Provincial/territorial,No,,None,None
80,80,NB158,N.B.,Zone 2 (Saint John area),2020-08-25 00:00:00,2020-08-25 00:00:00,Policy,Openings - education,"Who: Department of Health, Department of Education and Early Childhood Development
What: Updated return-to-school plans to reflect guidance about sports, extracurricular activities and physical education
Effective until:",https://www2.gnb.ca/content/gnb/en/news/news_release.2020.08.0461.html,https://www2.gnb.ca/content/dam/gnb/Departments/ed/pdf/ReturnSchool_Districts.pdf,Provincial/territorial,No,,Fitness,None
81,81,NB158,N.B.,Zone 1 (Moncton area),2020-08-25 00:00:00,2020-08-25 00:00:00,Policy,Openings - education,"Who: Department of Health, Department of Education and Early Childhood Development
What: Updated return-to-school plans to reflect guidance about sports, extracurricular activities and physical education
Effective until:",https://www2.gnb.ca/content/gnb/en/news/news_release.2020.08.0461.html,https://www2.gnb.ca/content/dam/gnb/Departments/ed/pdf/ReturnSchool_Districts.pdf,Provincial/territorial,No,,Fitness,None
82,82,NB160,N.B.,Zone 2 (Saint John area),2020-09-01 00:00:00,2020-09-01 00:00:00,Policy,Openings - education,"Who: Department of Health, Department of Education and Early Childhood Development
What: Updated return to school plans to reflect changes to group sizes for in-person and guidance on music education: K-2 will have group sizes around 15 and grades 3 to 6 will have group sizes around 22; singing and wind instruments permitted with measures in place
Effective until:",https://www2.gnb.ca/content/gnb/en/news/news_release.2020.09.0468.html,Not applicable,Provincial/territorial,No,,None,None
83,83,NB160,N.B.,Zone 1 (Moncton area),2020-09-01 00:00:00,2020-09-01 00:00:00,Policy,Openings - education,"Who: Department of Health, Department of Education and Early Childhood Development
What: Updated return to school plans to reflect changes to group sizes for in-person and guidance on music education: K-2 will have group sizes around 15 and grades 3 to 6 will have group sizes around 22; singing and wind instruments permitted with measures in place
Effective until:",https://www2.gnb.ca/content/gnb/en/news/news_release.2020.09.0468.html,Not applicable,Provincial/territorial,No,,None,None
84,84,NB162,N.B.,Zone 2 (Saint John area),2020-09-08 00:00:00,2020-09-08 00:00:00,Openings,Openings - education,"Who: Department of Education and Early Childhood Development
What: Began opening public schools for the first day of classes across the province
Effective until:",https://www2.gnb.ca/content/gnb/en/departments/education/k12/content/calendar.html,https://www.cbc.ca/news/canada/new-brunswick/nb-first-day-school-1.5715363,Provincial/territorial,No,,None,None
85,85,NB162,N.B.,Zone 1 (Moncton area),2020-09-08 00:00:00,2020-09-08 00:00:00,Openings,Openings - education,"Who: Department of Education and Early Childhood Development
What: Began opening public schools for the first day of classes across the province
Effective until:",https://www2.gnb.ca/content/gnb/en/departments/education/k12/content/calendar.html,https://www.cbc.ca/news/canada/new-brunswick/nb-first-day-school-1.5715363,Provincial/territorial,No,,None,None
86,86,NB163,N.B.,Zone 1 (Moncton area),,2020-10-09 00:00:00,Policy,Orange level,"What: Recreational and sport organizations may operate but are limited to practices and/or skills and drills within a single team. Physical distancing, screening and masks enforced. Limited capacities for businesses.",https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0517.html,Not applicable,Regional,No,,None,None
87,87,NB164,N.B.,Zone 1 (Moncton area),,2020-10-22 00:00:00,Restriction release,Yellow level,What: Physical distances of 2m and masks in public spaces enforced. Limits not enforced.,https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0550.html,Not applicable,Regional,No,,None,None
88,88,NB165,N.B.,Zone 1 (Moncton area),,2020-11-19 00:00:00,Restrictions,Orange level,"What: Recreational and sport organizations may operate but are limited to practices and/or skills and drills within a single team. Physical distancing, screening and masks enforced. Limited capacities for businesses.",https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0617.html,Not applicable,Regional,No,,None,None
89,89,NB166,N.B.,Zone 1 (Moncton area),,2020-10-14 00:00:00,Support,Businesses,"What: Working capital loans of up to $100,000 are available through the NB Small Business Emergency Working Capital Program. These are accessible to small businesses with one to 49 employees, with sales of less than $10 million in the most recent fiscal year.",https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0531.html,Not applicable,Provincial/territorial,No,,None,None
90,90,NS107,N.S.,Zone 4 - Central,2020-07-22 00:00:00,2020-07-22 00:00:00,Policy,Openings - education,"Who: Premier, Department of Education and Early Childhood Development
What: Released plan and safety guidance for elementary, middle and high schools to open in the fall with safety measures in place: students in K-8 will have in-school learning, and students in 9-12 will have a blended approach primarily using remote learning
Effective until:",https://novascotia.ca/news/release/?id=20200722003,https://novascotia.ca/coronavirus/docs/back-to-school-plan.pdf,Provincial/territorial,No,,None,None
91,91,NS108,N.S.,Zone 4 - Central,,2020-08-26 00:00:00,Openings,Openings - recreation,What: Community-based adult day programs can resume with an approved plan that meets public health guidelines.,https://novascotia.ca/coronavirus/restriction-updates/,Not applicable,Provincial/territorial,No,,None,None
92,92,NS109,N.S.,Zone 4 - Central,,2020-09-15 00:00:00,Openings,Openings - recreation,"What: Day programs, supported employment and social enterprise service providers funded through the Department of Community Services’ Disability Support Program can open with an approved plan that meets public health guidelines.",https://novascotia.ca/coronavirus/restriction-updates/,Not applicable,Provincial/territorial,No,,None,None
93,93,NS110,N.S.,Zone 4 - Central,,2020-11-26 00:00:00,Closures,Closures - recreation,"What: Extra-curricular activities between schools are not permitted (like clubs, sports and other in-school activities). Dine-in restaurants (take-out only), events, festivals, sport activities, casinos, video lottery terminals (VLTs). Personal services businesses (like hairstylists, barber shops, spas, estheticians and nail salons) can’t provide services that require a client to remove their mask",https://novascotia.ca/coronavirus/county-restrictions/halifax/,https://novascotia.ca/coronavirus/restriction-updates/,Regional,No,,"Nightlife, Activities, Restaurants & eating places, Personal care, Fitness",None
94,94,NS128,N.S.,Zone 4 - Central,2020-08-14 00:00:00,2020-08-14 00:00:00,Policy,Openings - education,"Who: Department of Education and Early Childhood Development
What: Mandated the use of non-medical masks in schools for students in grades 4 to 12, except when they are seated at desks 2 metres apart and facing the same direction
Effective until:",https://novascotia.ca/news/release/?id=20200814003,https://novascotia.ca/coronavirus/docs/back-to-school-plan.pdf,Provincial/territorial,No,,None,None
95,95,NS129,N.S.,Zone 4 - Central,2020-08-26 00:00:00,2020-08-26 00:00:00,Policy,Openings - education,"Who: Department of Education and Early Childhood Development
What: Updated Nova Scotia's Back to School Plan to reflect new group size limits of 15 for after-school program cohorts
Effective until:",https://novascotia.ca/news/release/?id=20200826003,Not applicable,Provincial/territorial,No,,None,None
96,96,NS132,N.S.,Zone 4 - Central,2020-09-02 00:00:00,2020-09-08 00:00:00,Openings,Openings - education,"Who: Department of Health and Wellness, Department of Education and Early Childhood Development
What: Opened public schools for first day of classes
Effective until:",https://novascotia.ca/news/release/?id=20200902004,Not applicable,Provincial/territorial,No,,None,None
97,97,NS133,N.S.,Zone 4 - Central,,2020-12-21 00:00:00,Openings,,"Who: Effective 12:01a.m. December 21, 2020, the Art Gallery of Nova Scotia, all museums and public libraries may open and operate at full capacity, while adhering to the physical distancing and other public health requirements set out in this Order. all not-for- profit and for-profit fitness, recreational and leisure facilities may:
(a) open; and
(b) offer outdoor fitness classes at full capacity, while ensuring three metres (nine feet) physical distance between participants during high intensity activities. A retail business that engages in the retail sale, or rental, of items to the public shall comply with conditions.",https://novascotia.ca/coronavirus/docs/health-protection-act-order-by-the-medical-officer-of-health.pdf,Not applicable,Provincial/territorial,No,,"Activities, Clothing stores",None
98,98,NS134,N.S.,Zone 4 - Central,,2021-01-04 00:00:00,Openings,Openings - non-essential services,"Halifax and Hants County restaurants can re-open for dine-in service. Restaurants can only serve dine-in customers until 10pm and must close by 11pm. Restaurants can continue to offer take-out, delivery and drive-thru service after 11pm.Halifax and Hants County liquor licensed (drinking) establishments (like bars, wineries, distillery tasting rooms and craft taprooms) can re-open for dine-in service. Liquor licensed (drinking) establishments can only serve dine-in customers until 10pm and must close by 11pm. Liquor licensed establishments can continue to offer take-out, delivery and drive-thru service after 11pm.",https://novascotia.ca/coronavirus/restriction-updates/,Not applicable,Regional,No,,"Restaurants & eating places, Food & beverage stores, Nightlife",Zone 4 - Central
99,99,ON217,Ont.,Ontario,2020-07-13 00:00:00,2020-07-27 00:00:00,Policy,Openings - daycares,"Who: Government of Ontario
What: Permitted an increase in child care centre capacities from cohorts of 10 to cohorts of 15 children 
Effective until: ",https://news.ontario.ca/opo/en/2020/07/nearly-all-businesses-and-public-spaces-to-reopen-in-stage-3.html,Not applicable,Provincial/territorial,No,,None,None
100,100,ON220,Ont.,Halton,2020-07-20 00:00:00,2020-07-24 00:00:00,Openings,Openings - non-essential services,"Who: Government of Ontario
What: Permitted nearly all businesses and public spaces in the 7 public health units that have entered Stage 3 to reopen; high-risk places and activities that are not yet safe to open include amusement and water parks; buffet-style food services; dancing at restaurants and bars; overnight stays at camps for children; private karaoke rooms; prolonged or deliberate contact while playing sports; saunas, steam rooms, bath houses and oxygen bars; and table games at casinos and gaming establishments 
Effective until: ",https://news.ontario.ca/opo/en/2020/07/ontario-moving-more-regions-into-stage-3.html,https://www.ontario.ca/page/reopening-ontario-stages?_ga=2.211279445.1356928481.1596562275-470745044.1584640249#section-3,Regional,No,Restaurants & eating places; Nightlife; Personal care,"Nightlife, Activities, Restaurants & eating places, Personal care, Fitness",None
101,101,ON220,Ont.,Durham,2020-07-20 00:00:00,2020-07-24 00:00:00,Openings,Openings - non-essential services,"Who: Government of Ontario
What: Permitted nearly all businesses and public spaces in the 7 public health units that have entered Stage 3 to reopen; high-risk places and activities that are not yet safe to open include amusement and water parks; buffet-style food services; dancing at restaurants and bars; overnight stays at camps for children; private karaoke rooms; prolonged or deliberate contact while playing sports; saunas, steam rooms, bath houses and oxygen bars; and table games at casinos and gaming establishments 
Effective until: ",https://news.ontario.ca/opo/en/2020/07/ontario-moving-more-regions-into-stage-3.html,https://www.ontario.ca/page/reopening-ontario-stages?_ga=2.211279445.1356928481.1596562275-470745044.1584640249#section-3,Regional,No,Restaurants & eating places; Nightlife; Personal care,"Nightlife, Activities, Restaurants & eating places, Personal care, Fitness",None
102,102,ON220,Ont.,Hamilton,2020-07-20 00:00:00,2020-07-24 00:00:00,Openings,Openings - non-essential services,"Who: Government of Ontario
What: Permitted nearly all businesses and public spaces in the 7 public health units that have entered Stage 3 to reopen; high-risk places and activities that are not yet safe to open include amusement and water parks; buffet-style food services; dancing at restaurants and bars; overnight stays at camps for children; private karaoke rooms; prolonged or deliberate contact while playing sports; saunas, steam rooms, bath houses and oxygen bars; and table games at casinos and gaming establishments 
Effective until: ",https://news.ontario.ca/opo/en/2020/07/ontario-moving-more-regions-into-stage-3.html,https://www.ontario.ca/page/reopening-ontario-stages?_ga=2.211279445.1356928481.1596562275-470745044.1584640249#section-3,Regional,No,Restaurants & eating places; Nightlife; Personal care,"Nightlife, Activities, Restaurants & eating places, Personal care, Fitness",None
103,103,ON220,Ont.,Niagara,2020-07-20 00:00:00,2020-07-24 00:00:00,Openings,Openings - non-essential services,"Who: Government of Ontario
What: Permitted nearly all businesses and public spaces in the 7 public health units that have entered Stage 3 to reopen; high-risk places and activities that are not yet safe to open include amusement and water parks; buffet-style food services; dancing at restaurants and bars; overnight stays at camps for children; private karaoke rooms; prolonged or deliberate contact while playing sports; saunas, steam rooms, bath houses and oxygen bars; and table games at casinos and gaming establishments 
Effective until: ",https://news.ontario.ca/opo/en/2020/07/ontario-moving-more-regions-into-stage-3.html,https://www.ontario.ca/page/reopening-ontario-stages?_ga=2.211279445.1356928481.1596562275-470745044.1584640249#section-3,Regional,No,Restaurants & eating places; Nightlife; Personal care,"Nightlife, Activities, Restaurants & eating places, Personal care, Fitness",None
104,104,ON220,Ont.,York,2020-07-20 00:00:00,2020-07-24 00:00:00,Openings,Openings - non-essential services,"Who: Government of Ontario
What: Permitted nearly all businesses and public spaces in the 7 public health units that have entered Stage 3 to reopen; high-risk places and activities that are not yet safe to open include amusement and water parks; buffet-style food services; dancing at restaurants and bars; overnight stays at camps for children; private karaoke rooms; prolonged or deliberate contact while playing sports; saunas, steam rooms, bath houses and oxygen bars; and table games at casinos and gaming establishments 
Effective until: ",https://news.ontario.ca/opo/en/2020/07/ontario-moving-more-regions-into-stage-3.html,https://www.ontario.ca/page/reopening-ontario-stages?_ga=2.211279445.1356928481.1596562275-470745044.1584640249#section-3,Regional,No,Restaurants & eating places; Nightlife; Personal care,"Nightlife, Activities, Restaurants & eating places, Personal care, Fitness",None
105,105,ON224,Ont.,Toronto,2020-07-29 00:00:00,2020-07-31 00:00:00,Openings,Openings - non-essential services,"Who: Government of Ontario
What: Permitted nearly all businesses and public spaces in the city of Toronto and Peel Region to reopen; high-risk places and activities that are not yet safe to open include amusement and water parks; buffet-style food services; dancing at restaurants and bars; overnight stays at camps for children; private karaoke rooms; prolonged or deliberate contact while playing sports; saunas, steam rooms, bath houses and oxygen bars; and table games at casinos and gaming establishments 
Effective until: ",https://news.ontario.ca/opo/en/2020/07/ontario-moving-toronto-and-peel-region-into-stage-3.html,https://www.ontario.ca/page/reopening-ontario-stages?_ga=2.211279445.1356928481.1596562275-470745044.1584640249#section-3,Regional,No,,"Nightlife, Activities, Restaurants & eating places, Personal care, Fitness",Toronto
106,106,ON226,Ont.,Durham,2020-07-30 00:00:00,2020-07-30 00:00:00,Policy,Openings - education,"Who: Government of Ontario
What: Updated safety plan for  the resumption of class for the 2020-21 school year: elementary students will return to full-time, in-person classes, and high school students will have a blended approach 
Effective until: ",https://news.ontario.ca/opo/en/2020/07/ontario-releases-plan-for-safe-reopening-of-schools-in-september.html,Not applicable,Provincial/territorial,No,,None,None
107,107,ON226,Ont.,Hamilton,2020-07-30 00:00:00,2020-07-30 00:00:00,Policy,Openings - education,"Who: Government of Ontario
What: Updated safety plan for  the resumption of class for the 2020-21 school year: elementary students will return to full-time, in-person classes, and high school students will have a blended approach 
Effective until: ",https://news.ontario.ca/opo/en/2020/07/ontario-releases-plan-for-safe-reopening-of-schools-in-september.html,Not applicable,Provincial/territorial,No,,None,None
108,108,ON226,Ont.,Middlesex-London,2020-07-30 00:00:00,2020-07-30 00:00:00,Policy,Openings - education,"Who: Government of Ontario
What: Updated safety plan for  the resumption of class for the 2020-21 school year: elementary students will return to full-time, in-person classes, and high school students will have a blended approach 
Effective until: ",https://news.ontario.ca/opo/en/2020/07/ontario-releases-plan-for-safe-reopening-of-schools-in-september.html,Not applicable,Provincial/territorial,No,,None,None
109,109,ON226,Ont.,Niagara,2020-07-30 00:00:00,2020-07-30 00:00:00,Policy,Openings - education,"Who: Government of Ontario
What: Updated safety plan for  the resumption of class for the 2020-21 school year: elementary students will return to full-time, in-person classes, and high school students will have a blended approach 
Effective until: ",https://news.ontario.ca/opo/en/2020/07/ontario-releases-plan-for-safe-reopening-of-schools-in-september.html,Not applicable,Provincial/territorial,No,,None,None
110,110,ON226,Ont.,Ottawa,2020-07-30 00:00:00,2020-07-30 00:00:00,Policy,Openings - education,"Who: Government of Ontario
What: Updated safety plan for  the resumption of class for the 2020-21 school year: elementary students will return to full-time, in-person classes, and high school students will have a blended approach 
Effective until: ",https://news.ontario.ca/opo/en/2020/07/ontario-releases-plan-for-safe-reopening-of-schools-in-september.html,Not applicable,Provincial/territorial,No,,None,None
111,111,ON226,Ont.,Toronto,2020-07-30 00:00:00,2020-07-30 00:00:00,Policy,Openings - education,"Who: Government of Ontario
What: Updated safety plan for  the resumption of class for the 2020-21 school year: elementary students will return to full-time, in-person classes, and high school students will have a blended approach. Announced a plan to allow licensed child care centres across Ontario to open at full capacity on September 1; EarlyON Child and Family Centres will also be permitted to reopen with in-person programming along with before- and after-school programs for school-aged children, and will be permitted to operate with standard ratios and maximum group size requirements 
Effective until: ",https://news.ontario.ca/opo/en/2020/07/ontario-releases-plan-for-safe-reopening-of-schools-in-september.html,https://news.ontario.ca/edu/en/2020/07/ontario-continues-to-gradually-and-safely-reopen-child-care-for-working-parents.html,Provincial/territorial,No,,None,None
112,112,ON226,Ont.,Waterloo,2020-07-30 00:00:00,2020-07-30 00:00:00,Policy,Openings - education,"Who: Government of Ontario
What: Updated safety plan for  the resumption of class for the 2020-21 school year: elementary students will return to full-time, in-person classes, and high school students will have a blended approach 
Effective until: ",https://news.ontario.ca/opo/en/2020/07/ontario-releases-plan-for-safe-reopening-of-schools-in-september.html,Not applicable,Provincial/territorial,No,,None,None
113,113,ON226,Ont.,Windsor-Essex,2020-07-30 00:00:00,2020-07-30 00:00:00,Policy,Openings - education,"Who: Government of Ontario
What: Updated safety plan for  the resumption of class for the 2020-21 school year: elementary students will return to full-time, in-person classes, and high school students will have a blended approach 
Effective until: ",https://news.ontario.ca/opo/en/2020/07/ontario-releases-plan-for-safe-reopening-of-schools-in-september.html,Not applicable,Provincial/territorial,No,,None,None
114,114,ON227,Ont.,Durham,2020-07-30 00:00:00,2020-07-30 00:00:00,Policy,Openings - daycares,"Who: Government of Ontario
What: Announced a plan to allow licensed child care centres across Ontario to open at full capacity on September 1; EarlyON Child and Family Centres will also be permitted to reopen with in-person programming along with before- and after-school programs for school-aged children, and will be permitted to operate with standard ratios and maximum group size requirements 
Effective until: ",https://news.ontario.ca/edu/en/2020/07/ontario-continues-to-gradually-and-safely-reopen-child-care-for-working-parents.html,Not applicable,Provincial/territorial,No,,None,None
115,115,ON227,Ont.,Hamilton,2020-07-30 00:00:00,2020-07-30 00:00:00,Policy,Openings - daycares,"Who: Government of Ontario
What: Announced a plan to allow licensed child care centres across Ontario to open at full capacity on September 1; EarlyON Child and Family Centres will also be permitted to reopen with in-person programming along with before- and after-school programs for school-aged children, and will be permitted to operate with standard ratios and maximum group size requirements 
Effective until: ",https://news.ontario.ca/edu/en/2020/07/ontario-continues-to-gradually-and-safely-reopen-child-care-for-working-parents.html,Not applicable,Provincial/territorial,No,,None,None
116,116,ON227,Ont.,Middlesex-London,2020-07-30 00:00:00,2020-07-30 00:00:00,Policy,Openings - daycares,"Who: Government of Ontario
What: Announced a plan to allow licensed child care centres across Ontario to open at full capacity on September 1; EarlyON Child and Family Centres will also be permitted to reopen with in-person programming along with before- and after-school programs for school-aged children, and will be permitted to operate with standard ratios and maximum group size requirements 
Effective until: ",https://news.ontario.ca/edu/en/2020/07/ontario-continues-to-gradually-and-safely-reopen-child-care-for-working-parents.html,Not applicable,Provincial/territorial,No,,None,None
117,117,ON227,Ont.,Niagara,2020-07-30 00:00:00,2020-07-30 00:00:00,Policy,Openings - daycares,"Who: Government of Ontario
What: Announced a plan to allow licensed child care centres across Ontario to open at full capacity on September 1; EarlyON Child and Family Centres will also be permitted to reopen with in-person programming along with before- and after-school programs for school-aged children, and will be permitted to operate with standard ratios and maximum group size requirements 
Effective until: ",https://news.ontario.ca/edu/en/2020/07/ontario-continues-to-gradually-and-safely-reopen-child-care-for-working-parents.html,Not applicable,Provincial/territorial,No,,None,None
118,118,ON227,Ont.,Ottawa,2020-07-30 00:00:00,2020-07-30 00:00:00,Policy,Openings - daycares,"Who: Government of Ontario
What: Announced a plan to allow licensed child care centres across Ontario to open at full capacity on September 1; EarlyON Child and Family Centres will also be permitted to reopen with in-person programming along with before- and after-school programs for school-aged children, and will be permitted to operate with standard ratios and maximum group size requirements 
Effective until: ",https://news.ontario.ca/edu/en/2020/07/ontario-continues-to-gradually-and-safely-reopen-child-care-for-working-parents.html,Not applicable,Provincial/territorial,No,,None,None
119,119,ON227,Ont.,Waterloo,2020-07-30 00:00:00,2020-07-30 00:00:00,Policy,Openings - daycares,"Who: Government of Ontario
What: Announced a plan to allow licensed child care centres across Ontario to open at full capacity on September 1; EarlyON Child and Family Centres will also be permitted to reopen with in-person programming along with before- and after-school programs for school-aged children, and will be permitted to operate with standard ratios and maximum group size requirements 
Effective until: ",https://news.ontario.ca/edu/en/2020/07/ontario-continues-to-gradually-and-safely-reopen-child-care-for-working-parents.html,Not applicable,Provincial/territorial,No,,None,None
120,120,ON227,Ont.,Windsor-Essex,2020-07-30 00:00:00,2020-07-30 00:00:00,Policy,Openings - daycares,"Who: Government of Ontario
What: Announced a plan to allow licensed child care centres across Ontario to open at full capacity on September 1; EarlyON Child and Family Centres will also be permitted to reopen with in-person programming along with before- and after-school programs for school-aged children, and will be permitted to operate with standard ratios and maximum group size requirements 
Effective until: ",https://news.ontario.ca/edu/en/2020/07/ontario-continues-to-gradually-and-safely-reopen-child-care-for-working-parents.html,Not applicable,Provincial/territorial,No,,None,None
121,121,ON229,Ont.,Windsor-Essex,2020-08-11 00:00:00,2020-08-12 00:00:00,Openings,Orange - Restrict,"Who: City of Windsor. What: Recreation and services permited with restrictions. Oxygen bars, steam rooms, saunas, bath houses and other adult venues, closed. Public health measures for high risk settings. Personal care, fitness, restaurants and nightlife operate with restrictions.",https://www.citywindsor.ca/Newsroom/Pages/Windsor-Moves-to-Stage-3-of-Provincial-COVID-19-Re-Opening-Several-City-Services-and-Amenities-Resume.aspx,Not applicable,Regional,No,,"Personal care, Restaurants & eating places, Nightlife",Windsor Essex
122,122,ON231,Ont.,Ottawa,2020-10-09 00:00:00,2020-10-10 00:00:00,Closures,Closings - non-essential services,"Who: Government of Ontario. What: Closure of indoor dining and drink service at restaurants, bars and nightclubs, as well as the closure of indoor gyms, casinos, cinemas, and performing arts centres in Toronto, Peel Region and Ottawa. Interactive exhibits in places like galleries or museums must close.",https://www.ontario.ca/page/reopening-ontario-stages#section-3,https://toronto.ctvnews.ca/ontario-shutting-down-indoor-dining-gyms-and-movie-theatres-in-three-covid-19-hotspots-1.5139458,Regional,No,Restaurants & eating places; Nightlife; Fitness,"Fitness, Activities, Restaurants & eating places, Nightlife","Toronto, Ottawa"
123,123,ON231,Ont.,Toronto,2020-10-09 00:00:00,2020-10-10 00:00:00,Closures,Closings - non-essential services,"Who: Government of Ontario. What: Closure of indoor dining and drink service at restaurants, bars and nightclubs, as well as the closure of indoor gyms, casinos, cinemas, and performing arts centres in Toronto, Peel Region and Ottawa. Interactive exhibits in places like galleries or museums must close.",https://www.ontario.ca/page/reopening-ontario-stages#section-3,https://toronto.ctvnews.ca/ontario-shutting-down-indoor-dining-gyms-and-movie-theatres-in-three-covid-19-hotspots-1.5139458,Regional,No,Restaurants & eating places; Nightlife; Fitness,"Fitness, Activities, Restaurants & eating places, Nightlife","Toronto, Ottawa"
124,124,ON234,Ont.,Hamilton,2020-11-03 00:00:00,2020-11-07 00:00:00,Restrictions,Yellow - Protect,"Who: Government of Ontario. What: Nightlife, personal care, events operate with restrictions.",https://news.ontario.ca/en/release/59081/ontario-moves-public-health-unit-regions-into-covid-19-response-framework-to-keep-ontario-safe-and-o,Not applicable,Regional,No,,"Activities, Personal care",None
125,125,ON234,Ont.,Halton,2020-11-03 00:00:00,2020-11-07 00:00:00,Restrictions,Yellow - Protect,"Who: Government of Ontario. What: Nightlife, personal care, events operate with restrictions.",https://news.ontario.ca/en/release/59081/ontario-moves-public-health-unit-regions-into-covid-19-response-framework-to-keep-ontario-safe-and-o,Not applicable,Regional,No,,"Activities, Personal care",None
126,126,ON234,Ont.,Simcoe Muskoka,2020-11-03 00:00:00,2020-11-07 00:00:00,Restrictions,Yellow - Protect,"Who: Government of Ontario. What: Nightlife, personal care, events operate with restrictions.",https://news.ontario.ca/en/release/59081/ontario-moves-public-health-unit-regions-into-covid-19-response-framework-to-keep-ontario-safe-and-o,Not applicable,Regional,No,,"Activities, Personal care",None
127,127,ON234,Ont.,Wellington Dufferin Guelph,2020-11-03 00:00:00,2020-11-07 00:00:00,Restrictions,Yellow - Protect,"Who: Government of Ontario. What: Nightlife, personal care, events operate with restrictions.",https://news.ontario.ca/en/release/59081/ontario-moves-public-health-unit-regions-into-covid-19-response-framework-to-keep-ontario-safe-and-o,Not applicable,Regional,No,,"Activities, Personal care",None
128,128,ON234,Ont.,Niagara,2020-11-03 00:00:00,2020-11-07 00:00:00,Restrictions,Yellow - Protect,"Who: Government of Ontario. What: Nightlife, personal care, events operate with restrictions.",https://news.ontario.ca/en/release/59081/ontario-moves-public-health-unit-regions-into-covid-19-response-framework-to-keep-ontario-safe-and-o,Not applicable,Regional,No,,"Activities, Personal care",None
129,129,ON234,Ont.,Durham,2020-11-03 00:00:00,2020-11-07 00:00:00,Restrictions,Yellow - Protect,"Who: Government of Ontario. What: Nightlife, personal care, events operate with restrictions.",https://news.ontario.ca/en/release/59081/ontario-moves-public-health-unit-regions-into-covid-19-response-framework-to-keep-ontario-safe-and-o,Not applicable,Regional,No,,"Activities, Personal care",None
130,130,ON234,Ont.,Ottawa,2020-11-03 00:00:00,2020-11-07 00:00:00,Openings,Orange - Restrict,"Who: Government of Ontario. What: Restaurants & eating places, cinemas, performing arts, and some personal care operate with restrictions. ",https://news.ontario.ca/en/release/59081/ontario-moves-public-health-unit-regions-into-covid-19-response-framework-to-keep-ontario-safe-and-o,https://globalnews.ca/news/7439440/toronto-remain-modified-stage-two-coronavirus-november-14-covid19/,Regional,No,Personal care,"Activities, Personal care, Restaurants & eating places",None
131,131,ON236,Ont.,Toronto,2020-11-10 00:00:00,2020-11-14 00:00:00,Restrictions,Red - Control,"Who: Toronto. What: Indoor fitness classes will not be permitted, while gyms will be allowed to open with a maximum of 10 people indoors. some indoor dining and fitness classes are permitted.",https://globalnews.ca/news/7454443/toronto-red-zone-coronavirus-restrictions/,Not applicable,Regional,No,Restaurants & eating places; Fitness,"Fitness, Restaurants & eating places",Toronto
132,132,ON237,Ont.,Windsor-Essex,,2020-11-07 00:00:00,Openings,Green - Prevent,"Who: Windsor-Essex County Health Unit What: All things open with restrictions in place except high risk areas, which remain closed. Night clubs only permitted to operate as restaurant or bar. Oxygen bars, steam rooms and saunas closed.",https://news.ontario.ca/en/release/59081/ontario-moves-public-health-unit-regions-into-covid-19-response-framework-to-keep-ontario-safe-and-o,Not applicable,Regional,No,Restaurants & eating places,"Personal care, Nightlife",Windsor Essex
